,0
74,he will make it for me
75,kals creature he makes fire only for kal
76,make fire make fire come from your fingers as i saw you
77,grandfather
78,no grandfather
79,but how are we going to get out of this
80,dont blame yourself grandfather
81,theyre all the same theyve been split open  episode three  the forest of fear
82,oh dont blame yourself grandfather
83,its no good it keeps crumbling
84,it may only be a small opening dont count on it
85,oh all right
86,grandfather i knew youd think of something
87,surely we should get the girls free
88,all right
89,all right
90,what
91,yes yes ill try youre trying to help me
92,i never thought once you were afraid
93,whats that
94,i will set you free if you will go away and not make fire fire will bring trouble and death to the tribe
95,now you are leader you are as strong as the beasts you will be stronger still when you know how fire is made stronger than kal
96,we cant stop here
97,look weve got to go further on
98,try try i shall have to carry you
99,oh grandfather come on
100,if thats true we must be quite near the ship how are you feeling
101,i dont know i saw something over there in the bushes
102,what do you think it could have been grandfather
103,im so cold
104,oh good is there any chance of them following us
105,yes thats why i dont want to stop here too long
106,no well change the order you and susan go in front barbara and ill bring up the rear susan seems to remember the way better than any of us
107,there isnt time to vote on it
108,if there were only two of us you could find your own way back to the ship
109,and youre a stubborn old man but you will lead the girls in between and ill bring up the rear because thats the safest way barbara was probably right i thought we heard something when we stopped back there
110,why are you so confident about it
111,i think wed better get going doctor will you lead
112,a dead animal
113,im going too
114,no grandfather we cant leave them
115,no
116,yes i know
117,yes lots
118,all right now were helping them youre a doctor do something
119,grandfather we can make friends with them
120,why you treat everybody and everything as something less important than yourself
121,the tribe is asleep
122,hes right were too exposed here well make a stretcher and carry him
123,the old woman wont give us away she helped
124,yes
125,what are you doing
126,right you take one end of it
127,do you want the women to do the job for you
128,here here is the knife he killed her with
129,it is a bad knife it does not show the things it does
130,i kal say it is a bad knife
131,i will show you one
132,i did not kill her
133,yes she set them free she set them free she did this i kal killed her
134,the great stone will close one place and you will stand by another i will show you take them
135,they are inside the cave you see them come out kill them
136,what is this
137,yes
138,put some more leaves and grass round it i think its beginning to work
139,ha i do not believe this
140,i will come with you
141,the animal was hard to kill the meat on it is good they have brought you fruit and water has been put into a stone is this the stone has anyone hurt you
142,why there is no better place the other side of the mountains do not try to leave here
143,with fire it is day
144,were beginning to land
145,have you taken us back to our own time
146,please you must take us back you must
147,are you saying that you dont know how to work this thing
148,just a minute did you try and take us back to our own time
149,that isnt what i asked you
150,oh yes
151,its reading normal grandfather      the dead planet ltback to the episode listing
152,oh yes
153,funny mist
154,huh like stone look very brittle stone it crumbles when you touch it look
155,what could have caused it grandfather
156,oh grandfather look its a flower a perfect flower well its even kept some of its colour
157,it looks like some sculptors nightmare
158,what even when it was alive but thats impossible
159,were not on earth then
160,are you sure
161,well it cant be too soon for me
162,oh doctor have you worked out yet how all this happened
163,barbara doctor over here
164,well doctor can you see anything any sign of life
165,what do you think doctor
166,down there oh no were going back to the ship
167,yes whatever you decide its too late to get down there now
168,you can do what you like as long as you dont endanger the rest of us
169,all right susan its all right youre safe now
170,yes of course i will
171,ill see what i can do
172,whats this one for i dont know how you make sense of any of this
173,can you find where we are well doctor
174,i was wondering if perhaps you
175,now listen doctor i dont want to argue with you were fellow travellers whether we like it or not but for heavens sake try and see it from our point of view youve uprooted us violently from our own lives you
176,all right all right i admit it a small part of the blame is ours
177,but naturally were anxious what are we going to do can we live here what do we eat there are millions of questions
178,oh ive suddenly got this terrible headache
179,lets hope it does you some good
180,all right bacon and eggs
181,this is fully automatic
182,j62
183,i hope mine doesnt taste of engine grease
184,eggs and bacon
185,go on try it
186,my bacons a bit salty
187,no seriously doctor this is remarkable i mean one bite and i taste the bacon another and i taste the egg how do you do it
188,oh its much better i dont usually get them at all
189,no thanks im not hungry
190,no i think ill go to bed now anyway
191,whats that
192,look ive had enough of this please cant we get out of here
193,but why
194,whats the matter
195,whats wrong
196,shall i trace it on the fault locator grandfather
197,k7
198,have you got a spare
199,what liquid do you need
200,mercury can i get it for you
201,what
202,dont you carry a supply
203,but you must have some somewhere surely
204,yes theres the city
205,it seems we have no alternative we have to go to the city
206,well its light enough and there doesnt seem to be anything out there we might as well get started oh and doctor remember were going to this city to find mercury and once weve found it were coming straight back here is that clear
207,be careful
208,i think its all right a metal box its a box of glass phials look
209,yes sorry susan
210,yes
211,yes a days supply for four thats enough isnt it
212,come on then off we go
213,you all right
214,why dont you rest here ian and i will look around and see if we can
215,fine ill go this way
216,we might as well see where it goes to come on
217,whats the matter
218,i can hear a ticking noise
219,yes over here somewhere
220,its coming from in here    ian ah this is more hopeful we ought to find some mercury here
221,yes hard to imagine what sort of people these are
222,yes but how do they use their intelligence what form does it take
223,but look at the needle its past the danger point
224,radiation sickness
225,what but how do you explain the buildings theyre intact
226,what but how much radiation and how badly
227,but dont you remember we cant move the ship until we find the mercury for the fluid link
228,you fool you old fool
229,were not leaving until weve found barbara
230,all right carry on fine how far do you think youll get without this
231,not until weve found barbara
232,no its time you faced up to your responsibilities you got us here now im going to make sure that you get us back
233,hes right grandfather we are wasting time
234,well whats going to happen to us
235,what happened
236,yes what about them
237,oh ill be all right in a couple of hours
238,so it wasnt our captors who left the drugs behind
239,the who
240,but what about the what do you call them the thals i mean how did they survive out there they
241,i dont know judging by alydon theyre magnificent people
242,grandfather youll feel better soon i brought the drugs back
243,no were still prisoners
244,well what are they going to do to her  dalek 1
245,all set doctor  the whole pattern of things is suspicious just because the daleks didnt kill us is no reason to trust them
246,the thals have helped us the daleks put us in a cell i know which of the two i prefer
247,ever since you talked alone to the daleks youve been on their side what have they done bribed you or something look i want to know why why are you on their side and against the rest of us
248,ian
249,no of course you didnt
250,fix you for a while    dalek 2
251,yes
252,well so are the streets of the city outside
253,i dont know
254,well if metal is essential
255,thats it dodgems
256,batteries
257,what drawing power from the floor
258,yes their eye is flexible like a large camera lens
259,whatever it is itll do for what we want
260,shh hes coming
261,yes
262,yes doctor perhaps we can stage something you know a distraction and when the lens looks the other way throw something over it
263,making mud
264,im ready
265,its very sticky and very nasty
266,shall i spread the cloak over
267,just down there
268,hes coming
269,yes i got it
270,ian come on out of the way
271,yes grandfather
272,youll have to help me  lets roll it off the cloak a bit more all right
273,not much room for my legs but try the top
274,its very cramped indeed
275,do you mean like this
276,i cant make this thing move its full of controls
277,surely theyll know that were pushing you
278,wait this looks like the place stay there  theres a great iron door with a dalek on guard and beyond the door theres a lift
279,no close the doors the girl cannot run far inside
280,the clasp is stuck
281,the door is locked emergency alarm  dalek 1
282,i cant move it it wont budge
283,ow that doors red hot
284,well have to move you into the lift
285,i dont understand it it moved easily enough before
286,are you sure
287,dont waste time go on
288,no im not leaving ian
289,go on
290,how long will it take them to cut through the door
291,but even if he does get out hes stuck down there his only way out is the lift we must go back for him
292,yes thank you susan
293,yes but where exactly are we
294,theres someone down there look by that sort of gateway thing beyond the low building i saw someone cross that space
295,the thals theyve come for food supplies
296,oh its no good this room must be soundproof we must find a way of getting down there
297,yes doctor open it
298,whats the matter with it
299,doctor keep working the door  its no good wait come over here and give me a hand quick now all push together
300,be right with you
301,wait there no no i think were all right
302,no no i must warn the thals
303,we cant let them walk into a trap
304,ill be there
305,no not yet
306,the complete history of our planet skaro is here it seems now that no one will survive to read it
307,yes skaro is the twelfth planet here
308,each of these maps is a tiny section of another solar system so the total picture can be built up
309,yes well i say total of course we were only able to map out as far as our electroscopes allowed
310,oh yes
311,yes but are they really pacifists i mean genuinely so or is it a belief thats become a reality because theyve never had to prove it
312,you mean this  became
313,yes
314,the original dalek
315,is this a sword the thals holding
316,were they
317,antodus is feeling much better
318,oh grandfather couldnt we stay a bit longer the thals are such nice people
319,i wonder if theres any point in reminding the thals of what they used to be
320,oh theyre opposed to fighting we were trying to convince them that it was a necessity for their own survival
321,yes lets get in the ship and get as far away from here as possible
322,any luck grandfather
323,well have you made another fluid link yet
324,oh no
325,well dont worry about it now doctor its happened
326,well i will be if you dont get my name right
327,its chesterton
328,how you two can stand there wasting time with small talk beats me
329,you always think of something grandfather
330,of course not
331,they have one great disadvantage they have no arms or ammunition
332,but grandfather weve been talking and arguing about this all morning the thals wont fight theyre against war
333,why
334,the doctors right ian cant you see if only we can get the thals to attack the city we could beat the daleks and get the link back
335,i will not allow you to use the thals to fight for us
336,except mine and susans and the doctors
337,all youre doing is playing with words
338,well lets see what happens
339,yes he is
340,to have self respect at this moment anyone could come in here they could rob they could steal
341,i could always have destroyed it if youd decided differently
342,yes i know but i mean the daleks wont be on guard there theres a chance to take them by surprise believe me im not happy about this but its the best possible chance there is
343,yes i think thats the best plan
344,the main ventilators seem to be over in this section
345,oh thats wrong it goes down there and up
346,no
347,grandfather get down
348,they dont leave much to chance
349,if they have pictures of the entrance to the city how can we do anything
350,yes we do have speed on our side
351,we cant keep up this light reflection for long
352,we cant be sure of that grandfather
353,doctor look
354,yes
355,hey grandfather look
356,is this what you want
357,well how do you know that
358,i wonder if i can open this box there arent any hinges on it oh thats it look look it slides up
359,look we cant wait around here too long
360,but i cant leave you two here
361,very well then but dont waste time here ill come back for you if i can
362,oh what a good idea yes
363,of course
364,what about this one
365,look grandfather this is marvellous but they must have a fault locator somewhere we must get away from here
366,yes but we mustnt waste time
367,we must go now
368,right rope coming over      dalek 1
369,why are you doing this
370,what we need for life means death for the thals
371,only one race can survive
372,we wish to escape captivity go out and rebuild the planet skaro our oxygen distributors will be subjected to waste radiation by the ejector capsule
373,except the daleks
374,now
375,cant we stop them cant we do anything
376,its true we have  dalek 1
377,grandfather theyre coming
378,grandfather look look they found a way through  dalek 1
379,nine eight seven six five four  dalek 3
380,doctor doctor i think theyre dying  dalek 1
381,yes hes very badly hurt but hes alive  dalek 1
382,its finished the final war five hundred years of destruction end in this
383,yes and get the ship working again doctor
384,yes if only thered been some other way
385,which is
386,where do you get your knowledge doctor you know there never seems to have been time to ask but we dont really know where you come from or why
387,but you must stay and help us we could learn from you
388,well then stay and advise us please
389,wont you rest with us
390,its lovely by the way doctor have you fitted the fluid link
391,goodbye ian
392,right
393,i dont think its as bad as that
394,how are you
395,you cut your forehead but youll be all right
396,where show me i cant see anything theres no bump or bruise or anything
397,susan you dont need that
398,but where where are we
399,can we have some light in here  doctor
400,everythings in a mess
401,no
402,yes
403,do you think something could have got into the ship
404,when the doors were open
405,yes
406,or another intelligence
407,no it isnt but does it have to be i mean things arent always very logical are they its just that ones been through so much ive
408,probably a mechanical fault
409,yes yes of course i will
410,i wouldnt go near the control column if i were you doctor it might give you an electric shock
411,are you all right
412,what can i do to help
413,no no he mustnt
414,yes grandfather i tried to touch it and it was like being hit but without any pain
415,well the back of my neck hurt
416,funny it didnt affect barbara and me like that
417,nothing happened to you
418,oh yes i remember that
419,oh i recognise that thats where we nearly lost the tardis four or five journeys back
420,can you explain it
421,no i dont think so
422,well whats all that about
423,why me
424,look why dont we just try and open the doors and see for ourselves whats outside
425,but youve just been telling us that the only people inside are ourselves
426,what are you talking about
427,dont be ridiculous we were all knocked out
428,absolute nonsense
429,but you checked everything yourself and you couldnt find anything wrong with it
430,but why would we for what reason
431,oh dont be so stupid
432,how dare you do you realise you stupid old man that youd have died in the cave of skulls if ian hadnt made fire for you
433,and what about what we went through against the daleks not just for us but for you and susan too and all because you tricked us into going down to the city
434,you cant blame us for this doctor where is he
435,i wish i could understand you doctor one moment youre abusing us and the next youre playing the perfect butler
436,doctor some very strange things are happening i feel were in a very dangerous position this is no time for personal quarrels
437,i think you should go and apologise to barbara at once
438,frankly doctor i find it hard to keep pace with you
439,results for good or for evil
440,try and get some sleep    episode two  the brink of disaster
441,ian
442,well help him
443,but now hes fainted just like susan did
444,oh what does it matter
445,but he has fainted look at him
446,no he isnt oh doctor dont you see something terribles happening to all of us
447,oh that isnt true
448,but youre wrong i swear we havent done anything
449,no
450,well what are you going to do
451,how did he get like this
452,what do you think weve done hypnotised you drugged you susan we wouldnt do anything like that believe me
453,i do believe you grandfather they couldnt have done all the things that happened
454,no its not a question of being smart
455,no you cant do that
456,but you cant open the doors
457,look grandfather youve no means of telling whats out there there may be no air it may be freezing it may be too hot to exist
458,why are you so suspicious of us
459,what are you two saying to each other
460,now
461,oh grandfather he doesnt know whats happening i wont let you do this
462,the danger signal
463,its all right
464,but everything cant be everything cant be wrong
465,i pulled you away the controls are alive
466,it went off again grandfather
467,yes
468,oh youre all right that drink you gave us
469,i thought so
470,yes and i told you not to go near the control column i told you youll electrocute yourself
471,i counted
472,yes i think im all right
473,just a moment why did you say that the brink of destruction
474,what total disintegration
475,well what is then
476,the column
477,doctor i thought it only moved when the power was on
478,well what made it move
479,well the power would be free to escape
480,the end what are you talking about
481,ten minutes as little as that
482,be careful doctor
483,dont susan please dont
484,yes it did
485,you say it has a builtin defence mechanism
486,is that feasible doctor
487,you say the power is under this column
488,and the column holds it down
489,well then what would make it want to escape
490,something outside
491,a magnetic force
492,but it could be the power escaping
493,yes the scanner i wonder
494,wont know what
495,theres no hope then
496,oh just a theory of mine that didnt work
497,i am right i know i am whenever theres a good picture the doors open because its safe for us to go outside and then it shows us a terrible picture and the doors close again
498,and the ship refused to destroy itself
499,the defence mechanism stopped the ship and its been trying to tell us so ever since
500,but doctor where are we when we left the planet skaro where did you ask the machine to take us to think doctor
501,the fast return switch youve sent us back too far doctor show me show me that switch where is it
502,yes
503,doctor we havent got very much time left
504,yes well how does it work
505,what you mean its been on all this time
506,well come on doctor lets get it unstuck
507,whats wrong
508,hurry doctor hurry
509,are you sure
510,grandfather
511,what happened
512,but why didnt the fault locator tell us
513,oh i see so if the spring were broken it would be as if your finger were pressing it down all the time
514,grandfather what about them you said some terrible things to them when i thought he was going to attack you even i was against him
515,dont bother to say anything doctor you know there are times when i can read every thought on your face
516,i i    doctor
517,susan told me
518,you said terrible things to us
519,what do you care what i think or feel
520,perhaps
521,grandfather were going out now
522,good
523,yes she gave me these
524,look snow
525,yes
526,oh really i thought it was made for two well shall we join the ladies doctor
527,you all right doctor
528,do you know where we are then grandfather
529,but what about that
530,the roof of the world i wonder if only well the doctor isnt very reliable you know mustnt count on anything
531,whats the matter
532,well the waters no bother doctor i mean weve got snow plenty of it but how about the heating
533,but thats serious we could freeze to death
534,i think id better try and find some fuel
535,well i must try mustnt i
536,no susan you stay here
537,oh come on barbara we havent much time
538,can you mend it grandfather or have you got to make a new one
539,just as you predicted doctor nothing but snow and ice
540,have you found the fault
541,doctor there are strange things on the mountain i saw one of them
542,well i only saw a print
543,no ian im sure it wasnt human
544,come on grandfather
545,sit down doctor
546,im afraid the liquid is not too warm but the cold here is so intense it even robs a flame of its heat
547,it is my lady and may i ask who you are
548,thank you
549,im rather curious to know why you were wandering around the mountainside at night but questions can wait until morning
550,well ask them
551,you do not know
552,the roof of the world
553,well well make a sledge and take it down the pass then we shall see
554,beansprout soup my lord
555,my lord is kind
556,i wish to serve my lord although among messer marcos retinue there is a man who calls himself a cook
557,oh no my lord the warlord tegana is a special emissary from the camp of the great mongol lord khan noghai who has been at war with kublai khan
558,the war is over my lord noghai has sued for peace and tegana travels to kublais court to discuss the armistice plans
559,i find your caravan most unusual doctor
560,and in need of repair
561,messer marco has ordered a sledge to be made hes going to bring the tardis down here
562,its a town on the edge of the gobi desert beyond kashgar and yarkand
563,doctor i once transported an entire army and its equipment from cathay to india all without loss
564,no
565,the mongol bearers still half believe that you are evil spirits they also believe that outside your caravan you are harmless however should any of you attempt to enter there would be trouble
566,well its it means wonderful its a verb we often use on earth
567,doctor
568,theyve set the tardis up in the courtyard
569,please sit down doctor
570,please be seated
571,i beg you to hear me out
572,i think perhaps we should listen to him come on
573,my home is venice i left there with my father and my uncle to come to cathay in twelve seventy one the journey to peking took us three and a half years when i arrived at the khans court i was twenty one i was an alert young man good at languages and willing to learn the khan liked me
574,it was as you say twelve seventy seven since then i have travelled to every corner of his domain and beyond it two years ago my father my uncle and i asked the khan for permission to go home he refused i think we had all served him too well
575,doctor i have not seen my home for eighteen years i want to go back
576,yes
577,you can make another
578,you do me an injustice doctor i will not leave you stranded in cathay just as i did not let you die on the mountain no you will come with me to venice and make another one there
579,no we need special metals materials things that dont exist in venice im afraid you dont understand all the problems involved
580,well travel home by ship we trade with every port in the world it may take you longer but youll get there eventually
581,old age if he dies i may never see venice again
582,doctor come on come and sit down
583,grandfather grandfather
584,doctor hes serious
585,what are you going to do
586,we will share
587,we must go
588,let them sleep barbara
589,all right grandfather
590,water
591,water look water
592,this is in your caravan
593,you told me you werent carrying any doctor
594,no i do not understand
595,thats true messer marco it was running down the walls and from the ceiling we we took it in this look we squeezed it in here you see
596,i have seen this happen let me see you drink it
597,yes i know it to be true
598,were leaving here tomorrow
599,marcos worried about bandits
600,if they had ian the remains would still be visible doctor
601,barbara may have told you that were leaving here tomorrow so get all the rest you can today you may use your caravan again but before we leave in the morning it will be locked and the key handed over to me
602,oh
603,huh
604,arent you forgetting something doctor
605,yes but youve given marco polo the key
606,i have no idea
607,made it when
608,grandfather
609,what do you know about the hashashin
610,well pingcho knows a story and shes going to tell us about it
611,gracious maidens gentle lords pray attend me while i tell my tale of alaeddin the old man of the mountains who by devious schemes evil designs and foul murders ruled the land  no host of arms no vast array of banners served this wicked lord they were but few ruthless reckless men who obeyed his cruel commands  thus did he persuade them  promising paradise he gave his followers a potent draught and whilst they slept transported them to a vale where streams of milk and honey wine and water flowed  here were gardens and flowers of every hue and essence here too golden pavilions outshone the sun and even the stars of heaven envied the bejewelled interiors strewn with incomparable silks tapestries and treasures  handmaidens dulcetvoiced soft of face attended them and thus bemused did they dwell in this manmade paradise until alaeddin intent upon some evil deed proffered again the hashish draught and brought them sleeping to his castle  what lord are we cast out of paradise awakening they cried  not so go abroad seek out my enemies and strike them down but care not for your lives paradise is eternal  so terror stalked the land for many years then one day came mighty hulagu to stand before alaeddins lair for three long years in siege thus fell alaeddin and his men  now honest hands reap harvests of life from the soil where death and evil reigned and those who journey through the vale are heard to say tis truly paradise today
612,lets get started
613,no doctor you stay here and nobody else move
614,grandfather grandfather dont worry about pingcho you can trust her
615,we think we might know where barbara is
616,yes and barbara was very interested so we thought she might have gone off to a look without asking anybody because messer marco might have tried to stop her
617,i do not know my lord but chenchu would know
618,i arrived this very moment my lord
619,the cave of five hundred
620,on the road to suchow my lord set back against the foothills
621,about a third of a league my lord
622,messer marco will be angry he told us to stay here
623,grandfather youll never find it on your own come on
624,id prefer not to susan
625,grandfather were supposed to be looking for barbara
626,he forced me
627,my lord look
628,miss wright
629,yes
630,i saw them move grandfather i swear i did
631,look look
632,what are you doing here
633,well why would she be in this cave
634,in the passageway it is not wise to remain in these caves they are possessed with evil spirits
635,ian
636,ian over here
637,round the corner
638,no
639,leave before the spirits are angered
640,hes not the only one susan saw the eyes in one of the faces move
641,do as you will
642,susan was right she did see the eyes move
643,of course i did
644,obey me  polo
645,how much longer do you think youll need
646,but thats marvellous doctor
647,and thats when we say goodbye to marco polo
648,well i shall be jolly glad to leave here in fact the only regrets ill have will be for susan
649,oh i think she and pingcho are very fond of each other its a pity theyve been kept apart so much
650,what on earth do you mean
651,what
652,with a stake through the heart
653,im sorry i doubted your word tegana give me the key doctor
654,youre an old man and i do not wish to use force
655,did i not say he had another key
656,tell me
657,guards guards
658,bear witness i wear the gold seal of kublai khan and by the authority it invests in me i do hereby seize and hold your caravan in his name be warned any resistance to this decree is instantly punishable by death
659,i know barbara i know the odds are against us but at least weve got to try
660,and polo has both keys
661,grandfather pingcho wouldnt tell him about the second key i know she wouldnt
662,oh dont you worry about that now we must concentrate on getting one of those keys back
663,i dont know somehow ill do it
664,with this ill cut my way out
665,as soon as ive dealt with that guard ill come back for you
666,grandfather supposing messer marco wont give him the keys
667,grandfather what are we going to do
668,no but given half a chance ill learn
669,oh more than enough for us
670,then what do you suggest we do
671,your caravan to go where
672,well where are these bandits if there are any why havent they attacked i warn you marco if you go in their caravan they will surely destroy you
673,you deceived me before doctor no we will not use your caravan if there are bandits we shall fight
674,bamboo the bandits thought there were devils in the fire and fled
675,well in battle all men face death
676,surely he cant punish us by trying to escape we saved his life
677,i doubt if hell do that doctor
678,so be it
679,yes i know and in return i revoke the seizure of your caravan by official decree
680,thats right
681,all the freedoms you enjoyed before will be restored susan and pingcho can share each others company and no guards will watch you by night
682,he knows were on to him
683,tegana wasnt to know that otherwise hed have given the alarm
684,you mean he was implicated in the attack
685,ian do you remember that bandit we buried this morning i knew id seen him somewhere before he was in the cave of five hundred eyes
686,but whats teganas game whats he after
687,well shouldnt we warn
688,what
689,yes my lady
690,we are few my lord
691,they will have to follow on one of the many trade caravans that travels the route
692,oh how sad good day my gracious ladies chengting is so delightful at this time of the year
693,what
694,i was advised of your pending arrival my lord marco by a courier who passed this way from shangtu
695,what is it now
696,oh thats what it is i had it moved
697,the stables my lord
698,thank you
699,got the key doctor
700,get back theres a guard
701,she must have gone to say goodbye to pingcho
702,tell them to come out do as i command
703,they would all have escaped if i had not caught this one
704,im sorry grandfather
705,we wait the great khans pleasure
706,are they
707,oh theyre enormous they have to be to accommodate the khans two great passions hunting and falconry do you know in his stables he has ten thousand white stallions
708,when great kublai khan appears you will make your obeisance to him so that he may look kindly upon you and spare your worthless lives
709,kowtow kneel upon the ground and touch your forehead upon the floor three times
710,kublai khan is the mightiest man the world has ever seen not to pay him homage will cost you your head
711,grandfather please
712,kowtow kowtow
713,do you mock our afflictions
714,what ails it
715,dont be impertinent
716,doctor oh is he are you perchance a physician
717,no i think it is better that you ride with us
718,you spoke
719,then walk
720,the master of the world has a carriage of state
721,tomorrow you ride in state with us
722,we have healing waters here which relieve my gout come let us observe their effects upon your aches and pains
723,oh what a trial old age is
724,the great khan has left the summer palace at shangtu my lord you will see him in peking
725,youre too good for us at backgammon tea
726,oh that is our reckoning
727,what do we owe
728,thats not too bad so far
729,oh that what else what more
730,one wins one loses my dear
731,youre not wagering are you you know how it affects your gout
732,charming indeed and yet there are moments old friend when we wish our character were more like that of our lamented grandfather genghis did you hear of him
733,oh he was the warrior of the family nothing frightened him we are the clan of the statistician and the administrator oh she will be furious with me when she finds out what i have lost
734,no no no these are bets of honour
735,and if you win
736,no not that no take something else the island of sumatra we cant give you marcos gift we havent even seen it yet
737,oh marco polo well would you object to one interruption
738,the caravan
739,nothing my lord i will leave you to your game
740,grandfather grandfather youve not lost
741,no you overestimated yourself
742,well we can be quite clear about that tegana said i serve noghai and he will conquer the world with the help of the tardis
743,im sure tegana was behind that bandit raid but why
744,i remember
745,the khan was furious because noghai had moved his armies from samarkand to karakorum
746,yes that makes sense even so why should kublai khan fear noghai he has an enormous army and hes already defeated him once surely
747,grandfather do you mean to say teganas going to assassinate the khan
748,ive had it
749,look how are we going to get ian past the guard
750,teganas in the throne room with the khan now
751,take him away doctor take the keys quickly
752,now go
753,go
754,any radiation doctor
755,pity you dont have colour television
756,where is it then
757,grandfather can we go and have a look can we
758,no
759,well i thought when you switched the scanner on i thought i saw something move up there oh probably just a shadow
760,it isnt frozen is it
761,grandfather do you think its safe to go for a swim
762,theres nothing growing
763,its glass
764,do you think the sand turned into glass
765,then everything out there is acid too a sea of acid
766,she was a bit frightened of losing her shoes but shes gone back to the ship for another pair
767,or a one man submarine its certainly designed for going under the water
768,yes i dont know if its occurred to you doctor but this means this place is inhabited
769,doctor
770,grandfather
771,now lets have a look at you
772,its a protective suit
773,you mean the acid got in poor devil
774,look at that fantastic building
775,she isnt inside anywhere
776,ian there are your boots and there are susans footprints in the sand here
777,what you mean is that all visitors are unwelcome
778,we must find susan she may have gone to have a look at that building
779,yes marvellous isnt it
780,well for a start lets make a circuit of this place
781,man
782,are these the ones that live here
783,so the men from the glass submarines are intruders like us
784,well maybe were to be killed too
785,good idea
786,yes and all our knowledge culminated in the manufacture of this at the time it was called the conscience of marinus marinus that is the name of our planet at first this machine was simply a judge and jury that was never wrong and unfair and then we added to it improved on it made it more and more sophisticated so that finally it became possible to radiate its power and influence the minds of men throughout the planet they no longer had to decide what was wrong or right the machine decided for them
787,the keys are very simple but the microcircuits inside are very complicated a permutation of numbers and signals that would take a thousand years to unravel and besides since the keys were hidden i have worked on this machine and modified it so that when theyre replaced
788,oh come on grandfather
789,well its some sort of invisible barrier what do you make of it doctor
790,its like an invisible wall
791,goes all the way round cant see a cause to it
792,if we return
793,perhaps you will bring me news of my daughter i miss her yes i miss her
794,i wouldnt think of asking you to travel in such an absurd way no im going to give you a device which will enable you to move from place to place
795,what this little thing
796,its barbaras travel dial look theres blood on it  episode two  the velvet web
797,of course she would
798,lets get inside
799,doctor theres blood on this strap that means shes hurt maybe badly we cant argue now lets get inside
800,well what do you think about all this doctor
801,yes here you are
802,well thats what theyre here for they asked me to choose the materials i wanted for my robe
803,theyve got everything here
804,yes i have and his manners are perfect
805,could i have a dress made
806,well id love a dress made from this silk here
807,and you have you no wish no great desire
808,what is it grandfather
809,perhaps in the morning when you see the laboratory you will find our way of life easier to understand to believe now as it is late i suggest you sleep in the morning when you wake you will learn everything about morphoton
810,goodnight
811,oh good morning thank you very much
812,yes
813,why not help yourself theres plenty more
814,yes barbara she really is having a deep sleep isnt she
815,oh this oh i dont know just a sort of mild irritation on the forehead its nothing at all
816,well look look around you cant you see
817,yes
818,no its filthy
819,why cant you see
820,no it isnt it isnt and this terrible dress and the furniture
821,theyve given you nothing i dont know what theyve done to you or why it hasnt worked on me but i must find a way to show you i must before its too late
822,yes of course
823,ive never seen anything like it
824,doctor isnt that a cyclotron
825,yes i dont blame them trouble is theyll be up here soon
826,wheres susan
827,theyre coming with us
828,doctor what did you mean altos is going with you
829,good lets go then
830,i wish to join you too
831,arbitan hadnt heard from either of you or anyone else for that matter
832,it may just be that he couldnt reach the key it lies somewhere in the city of millenius
833,what you mean go two jumps ahead and try and find the fourth key
