,x,y
117,41 subtract 59,-18
118,22 subtract 93,-71
119,58 plus 43,101
120,2 add 89,91
121,94 minus 43,51
122,4 plus 41,45
123,72 subtract 79,-7
124,35 plus 78,113
125,69 minus 55,14
126,20 minus 98,-78
127,88 minus 46,42
128,58 subtract 94,-36
129,3 add 94,97
130,98 plus 22,120
131,90 plus 96,186
132,52 plus 66,118
133,27 plus 33,60
134,83 add 39,122
135,21 minus 86,-65
136,86 plus 34,120
137,93 minus 12,81
138,10 add 79,89
139,96 plus 24,120
140,40 plus 65,105
141,22 plus 39,61
142,26 plus 16,42
143,29 minus 98,-69
144,39 plus 66,105
145,78 subtract 4,74
146,81 add 79,160
147,39 subtract 99,-60
148,94 plus 7,101
149,39 add 2,41
150,1 minus 78,-77
151,75 minus 66,9
152,59 minus 92,-33
153,66 minus 91,-25
154,36 plus 20,56
155,63 minus 78,-15
156,82 add 20,102
157,46 plus 99,145
158,82 minus 50,32
159,22 add 82,104
160,67 plus 85,152
161,31 plus 5,36
162,13 plus 2,15
163,49 add 42,91
164,65 minus 8,57
165,95 add 65,160
166,87 minus 37,50
167,9 add 38,47
168,22 add 24,46
169,66 plus 58,124
170,46 add 5,51
171,60 plus 13,73
172,74 add 51,125
173,89 plus 81,170
174,70 minus 98,-28
175,61 plus 57,118
176,16 add 66,82
177,72 plus 34,106
178,95 plus 36,131
179,69 subtract 68,1
180,50 plus 79,129
181,60 plus 33,93
182,35 minus 64,-29
183,45 plus 25,70
184,96 subtract 41,55
185,29 minus 47,-18
186,41 subtract 73,-32
187,65 plus 13,78
188,25 subtract 80,-55
189,89 subtract 36,53
190,32 plus 25,57
191,88 minus 69,19
192,97 plus 82,179
193,43 add 52,95
194,17 minus 6,11
195,49 subtract 68,-19
196,66 minus 87,-21
197,36 add 5,41
198,73 plus 52,125
199,3 minus 52,-49
200,70 add 100,170
201,12 subtract 4,8
202,23 add 10,33
203,62 subtract 13,49
204,61 add 22,83
205,23 minus 60,-37
206,87 subtract 99,-12
207,47 minus 71,-24
208,73 subtract 90,-17
209,4 subtract 12,-8
210,100 plus 61,161
211,7 plus 6,13
212,2 minus 5,-3
213,56 minus 88,-32
214,8 add 63,71
215,18 minus 65,-47
216,46 add 17,63
217,82 plus 62,144
218,21 add 35,56
219,41 add 25,66
220,65 subtract 100,-35
221,1 add 74,75
222,25 add 6,31
223,68 add 85,153
224,100 add 76,176
225,11 subtract 7,4
226,41 subtract 33,8
227,28 add 27,55
228,4 add 19,23
229,57 add 42,99
230,12 plus 59,71
231,33 add 16,49
232,38 subtract 25,13
233,26 minus 90,-64
234,36 minus 57,-21
235,84 add 2,86
236,64 plus 33,97
237,6 minus 7,-1
238,28 plus 36,64
239,83 plus 97,180
240,39 subtract 3,36
241,86 plus 62,148
242,98 add 92,190
243,19 subtract 81,-62
244,61 plus 74,135
245,16 plus 23,39
246,89 subtract 68,21
247,91 subtract 96,-5
248,11 subtract 50,-39
249,28 plus 50,78
250,89 subtract 55,34
251,12 minus 37,-25
252,70 minus 21,49
253,82 plus 3,85
254,88 minus 89,-1
255,97 minus 7,90
256,6 add 73,79
257,67 plus 66,133
258,8 minus 89,-81
259,98 plus 88,186
260,48 add 19,67
261,91 plus 64,155
262,47 add 67,114
263,41 plus 82,123
264,47 plus 33,80
265,26 plus 94,120
266,60 add 49,109
267,5 add 87,92
268,52 minus 53,-1
269,98 add 94,192
270,10 subtract 22,-12
271,15 plus 8,23
272,38 minus 35,3
273,35 add 12,47
274,96 add 51,147
275,53 subtract 82,-29
276,10 subtract 60,-50
277,100 subtract 93,7
278,99 subtract 51,48
279,8 plus 84,92
280,60 minus 6,54
281,57 subtract 100,-43
282,26 plus 2,28
283,59 minus 47,12
284,71 add 96,167
285,54 minus 60,-6
286,20 minus 66,-46
287,36 subtract 19,17
288,10 add 68,78
289,18 plus 9,27
290,35 add 51,86
291,18 add 2,20
292,90 minus 41,49
293,11 add 84,95
294,89 minus 63,26
295,8 subtract 82,-74
296,56 subtract 89,-33
297,7 plus 69,76
298,86 add 61,147
299,13 minus 60,-47
300,86 subtract 91,-5
301,27 plus 99,126
302,96 plus 44,140
303,40 minus 47,-7
304,10 minus 9,1
305,33 add 89,122
306,53 add 50,103
307,74 subtract 20,54
308,20 plus 44,64
309,23 add 31,54
310,98 plus 50,148
311,15 plus 27,42
312,79 minus 15,64
313,26 subtract 63,-37
314,69 minus 44,25
315,100 minus 33,67
316,22 add 62,84
317,92 plus 20,112
318,19 plus 2,21
319,96 subtract 4,92
320,64 add 32,96
321,61 minus 62,-1
322,86 add 3,89
323,1 subtract 82,-81
324,66 subtract 60,6
325,70 subtract 26,44
326,34 minus 99,-65
327,81 subtract 7,74
328,28 add 78,106
329,9 minus 43,-34
330,94 add 82,176
331,35 subtract 48,-13
332,26 minus 23,3
333,75 subtract 6,69
334,69 add 65,134
335,13 add 79,92
336,24 add 67,91
337,59 minus 45,14
338,51 subtract 70,-19
339,92 minus 45,47
340,48 subtract 53,-5
341,92 add 30,122
342,24 plus 5,29
343,61 subtract 87,-26
344,52 minus 11,41
345,94 minus 19,75
346,50 plus 32,82
347,71 subtract 40,31
348,4 minus 10,-6
349,43 add 45,88
350,64 minus 26,38
351,55 minus 62,-7
352,95 subtract 71,24
353,7 plus 12,19
354,5 plus 45,50
355,3 add 10,13
356,68 subtract 49,19
357,30 add 43,73
358,55 minus 75,-20
359,32 plus 70,102
360,12 subtract 49,-37
361,96 minus 9,87
362,44 subtract 89,-45
363,38 minus 92,-54
364,15 subtract 16,-1
365,80 minus 99,-19
366,88 add 87,175
367,15 subtract 78,-63
368,70 subtract 92,-22
369,39 plus 83,122
370,93 plus 85,178
371,75 plus 71,146
372,10 plus 90,100
373,2 plus 61,63
374,42 plus 88,130
375,49 subtract 26,23
376,100 subtract 49,51
377,79 add 23,102
378,25 plus 78,103
379,45 minus 9,36
380,98 plus 87,185
381,4 minus 25,-21
382,79 minus 76,3
383,61 minus 20,41
384,31 add 46,77
385,59 plus 97,156
386,32 minus 82,-50
387,52 minus 78,-26
388,27 minus 99,-72
389,58 minus 84,-26
390,14 plus 33,47
391,96 add 24,120
392,81 minus 86,-5
393,30 subtract 95,-65
394,11 subtract 8,3
395,91 plus 90,181
396,83 plus 63,146
397,41 add 11,52
398,74 add 62,136
399,31 add 74,105
400,59 subtract 32,27
401,82 plus 8,90
402,1 minus 46,-45
403,14 add 14,28
404,65 subtract 49,16
405,13 minus 11,2
406,31 subtract 75,-44
407,66 plus 100,166
408,49 plus 96,145
409,96 add 77,173
410,35 plus 28,63
411,99 add 26,125
412,66 add 4,70
413,74 subtract 24,50
414,95 plus 70,165
415,57 minus 30,27
416,60 minus 99,-39
417,88 plus 32,120
418,7 plus 77,84
419,43 add 24,67
420,25 add 45,70
421,51 plus 40,91
422,42 subtract 9,33
423,64 plus 22,86
424,43 minus 89,-46
425,16 minus 47,-31
426,76 add 1,77
427,54 plus 5,59
428,88 add 86,174
429,77 plus 53,130
430,87 minus 34,53
431,8 subtract 4,4
432,69 subtract 42,27
433,72 plus 18,90
434,55 minus 28,27
435,5 plus 35,40
436,32 subtract 46,-14
437,43 plus 20,63
438,98 subtract 19,79
439,3 plus 38,41
440,9 plus 62,71
441,81 subtract 31,50
442,22 plus 65,87
443,2 subtract 32,-30
444,95 add 87,182
445,18 minus 55,-37
446,10 add 58,68
447,24 add 83,107
448,14 plus 26,40
449,59 add 58,117
450,18 add 52,70
451,27 add 99,126
452,35 add 43,78
453,58 add 89,147
454,58 add 91,149
455,55 add 59,114
456,16 minus 46,-30
457,66 subtract 45,21
458,18 subtract 64,-46
459,50 plus 29,79
460,67 plus 45,112
461,59 add 99,158
462,2 add 90,92
463,60 subtract 93,-33
464,46 subtract 12,34
465,62 subtract 12,50
466,18 plus 23,41
467,50 add 18,68
468,44 subtract 71,-27
469,31 plus 19,50
470,85 add 86,171
471,51 subtract 41,10
472,8 subtract 96,-88
473,87 add 87,174
474,22 subtract 98,-76
475,48 plus 69,117
476,53 plus 22,75
477,15 plus 19,34
478,29 subtract 66,-37
479,54 plus 54,108
480,4 minus 50,-46
481,96 plus 65,161
482,14 minus 89,-75
483,24 subtract 62,-38
484,55 add 15,70
485,80 subtract 25,55
486,36 add 66,102
487,85 subtract 91,-6
488,53 add 21,74
489,1 subtract 15,-14
490,78 add 87,165
491,75 subtract 86,-11
492,91 plus 70,161
493,36 add 91,127
494,4 subtract 84,-80
495,93 minus 6,87
496,68 plus 80,148
497,5 minus 75,-70
498,59 plus 99,158
499,94 subtract 88,6
500,69 subtract 76,-7
501,79 add 73,152
502,96 subtract 77,19
503,54 minus 84,-30
504,95 minus 1,94
505,89 subtract 47,42
506,16 plus 63,79
507,54 subtract 91,-37
508,84 add 38,122
509,67 add 28,95
510,85 plus 64,149
511,23 subtract 40,-17
512,98 plus 79,177
513,84 plus 75,159
514,16 minus 22,-6
515,85 add 50,135
516,51 add 83,134
517,89 add 99,188
518,79 minus 91,-12
519,19 plus 30,49
520,85 plus 67,152
521,18 plus 10,28
522,71 minus 8,63
523,16 minus 7,9
524,53 plus 61,114
525,84 add 42,126
526,56 minus 20,36
527,68 minus 78,-10
528,21 add 8,29
529,85 subtract 97,-12
530,3 subtract 44,-41
531,40 add 57,97
532,67 minus 36,31
533,33 subtract 13,20
534,16 plus 54,70
535,44 subtract 54,-10
536,19 add 83,102
537,32 plus 21,53
538,25 subtract 44,-19
539,36 subtract 69,-33
540,10 minus 33,-23
541,55 plus 99,154
542,81 minus 30,51
543,63 minus 45,18
544,81 add 36,117
545,87 subtract 66,21
546,92 plus 50,142
547,49 minus 15,34
548,75 plus 85,160
549,35 plus 91,126
550,89 subtract 13,76
551,82 plus 90,172
552,99 minus 3,96
553,96 plus 22,118
554,79 minus 70,9
555,3 minus 65,-62
556,49 minus 4,45
557,50 add 100,150
558,91 subtract 15,76
559,27 plus 51,78
560,59 plus 21,80
561,2 minus 84,-82
562,44 plus 54,98
563,44 add 44,88
564,71 add 2,73
565,54 plus 53,107
566,9 plus 59,68
567,36 add 16,52
568,33 add 57,90
569,49 plus 93,142
570,43 subtract 48,-5
571,41 minus 64,-23
572,25 plus 46,71
573,89 plus 41,130
574,66 minus 42,24
575,90 minus 24,66
576,73 add 7,80
577,68 add 56,124
578,55 plus 33,88
579,44 add 79,123
580,26 add 94,120
581,68 add 4,72
582,3 plus 57,60
583,80 minus 81,-1
584,93 subtract 10,83
585,51 plus 57,108
586,45 subtract 71,-26
587,66 plus 67,133
588,16 add 70,86
589,14 plus 15,29
590,18 subtract 82,-64
591,58 add 38,96
592,8 plus 85,93
593,9 subtract 79,-70
594,76 plus 20,96
595,11 add 17,28
596,84 add 20,104
597,12 minus 19,-7
598,22 subtract 93,-71
599,53 subtract 35,18
600,82 minus 75,7
601,78 subtract 2,76
602,70 minus 20,50
603,84 minus 52,32
604,38 add 41,79
605,93 subtract 2,91
606,43 subtract 39,4
607,24 add 64,88
608,63 plus 44,107
609,97 minus 29,68
610,28 plus 24,52
611,67 subtract 28,39
612,95 add 3,98
613,37 minus 88,-51
614,9 add 37,46
615,36 plus 83,119
616,51 minus 61,-10
617,75 minus 1,74
618,63 subtract 29,34
619,76 plus 3,79
620,93 add 5,98
621,46 minus 48,-2
622,12 add 78,90
623,94 add 58,152
624,93 subtract 43,50
625,36 plus 6,42
626,78 plus 28,106
627,46 plus 72,118
628,13 plus 2,15
629,81 add 48,129
630,88 plus 29,117
631,27 add 31,58
632,19 plus 23,42
633,54 add 18,72
634,4 minus 22,-18
635,26 plus 77,103
636,29 subtract 36,-7
637,67 subtract 6,61
638,22 add 42,64
639,36 minus 96,-60
640,20 add 93,113
641,87 minus 25,62
642,71 plus 49,120
643,41 subtract 34,7
644,68 minus 78,-10
645,52 add 43,95
646,37 plus 85,122
647,80 plus 1,81
648,8 add 96,104
649,32 add 54,86
650,10 subtract 62,-52
651,22 plus 95,117
652,69 subtract 89,-20
653,46 add 23,69
654,42 minus 7,35
655,94 minus 92,2
656,9 subtract 46,-37
657,38 plus 92,130
658,44 minus 75,-31
659,5 minus 14,-9
660,14 plus 60,74
661,46 subtract 67,-21
662,25 minus 84,-59
663,76 add 88,164
664,11 plus 36,47
665,63 add 82,145
666,38 minus 62,-24
667,90 add 75,165
668,57 add 60,117
669,29 plus 56,85
670,96 add 78,174
671,45 minus 33,12
672,28 minus 23,5
673,51 plus 50,101
674,46 plus 37,83
675,10 add 74,84
676,31 plus 49,80
677,46 subtract 37,9
678,88 plus 64,152
679,63 plus 76,139
680,99 add 2,101
681,12 subtract 45,-33
682,39 plus 28,67
683,31 minus 27,4
684,85 subtract 5,80
685,55 add 72,127
686,53 minus 1,52
687,80 add 70,150
688,16 minus 59,-43
689,47 minus 42,5
690,65 minus 32,33
691,73 add 95,168
692,30 add 25,55
693,51 minus 33,18
694,44 minus 34,10
695,51 subtract 97,-46
696,3 minus 59,-56
697,53 minus 51,2
698,51 subtract 2,49
699,87 plus 13,100
700,44 add 69,113
701,57 plus 30,87
702,91 add 19,110
703,86 add 85,171
704,1 minus 21,-20
705,44 add 91,135
706,78 minus 44,34
707,8 subtract 17,-9
708,62 add 4,66
709,25 subtract 73,-48
710,36 add 41,77
711,31 add 38,69
712,17 subtract 88,-71
713,95 subtract 50,45
714,3 plus 48,51
715,77 plus 8,85
716,70 add 46,116
717,44 minus 30,14
718,81 minus 11,70
719,78 plus 4,82
720,75 minus 92,-17
721,41 minus 81,-40
722,84 subtract 51,33
723,12 minus 31,-19
724,20 minus 57,-37
725,3 add 11,14
726,67 minus 10,57
727,91 subtract 74,17
728,77 minus 32,45
729,26 add 72,98
730,23 subtract 51,-28
731,12 add 73,85
732,65 plus 9,74
733,12 subtract 4,8
734,89 subtract 76,13
735,25 subtract 98,-73
736,100 minus 78,22
737,57 minus 55,2
738,96 plus 8,104
739,74 subtract 25,49
740,43 add 78,121
741,74 subtract 61,13
742,6 subtract 12,-6
743,100 subtract 80,20
744,29 subtract 24,5
745,2 plus 58,60
746,26 minus 93,-67
747,99 minus 59,40
748,12 plus 68,80
749,3 minus 21,-18
750,28 add 82,110
751,83 subtract 66,17
752,70 plus 100,170
753,59 add 97,156
754,43 plus 74,117
755,92 plus 2,94
756,83 plus 69,152
757,88 add 3,91
758,4 minus 81,-77
759,69 plus 76,145
760,29 subtract 52,-23
761,45 minus 35,10
762,28 subtract 28,0
763,15 add 81,96
764,63 subtract 51,12
765,26 minus 7,19
766,13 plus 23,36
767,88 subtract 80,8
768,73 add 55,128
769,76 minus 69,7
770,26 plus 63,89
771,48 minus 46,2
772,45 minus 87,-42
773,25 add 97,122
774,32 subtract 69,-37
775,91 minus 44,47
776,82 plus 62,144
777,37 minus 80,-43
778,24 minus 91,-67
779,96 subtract 54,42
780,74 plus 45,119
781,83 add 71,154
782,20 minus 28,-8
783,44 plus 39,83
784,13 add 33,46
785,14 plus 6,20
786,84 add 18,102
787,56 minus 88,-32
788,11 subtract 50,-39
789,10 minus 40,-30
790,75 add 44,119
791,99 subtract 89,10
792,55 subtract 50,5
793,17 plus 51,68
794,76 add 62,138
795,31 minus 60,-29
796,61 add 82,143
797,72 plus 80,152
798,78 minus 66,12
799,20 add 45,65
800,38 plus 55,93
801,2 minus 21,-19
802,30 minus 100,-70
803,21 plus 67,88
804,95 minus 89,6
805,77 plus 34,111
806,83 subtract 81,2
807,83 plus 88,171
808,76 subtract 1,75
809,92 subtract 23,69
810,7 minus 98,-91
811,43 add 50,93
812,17 subtract 60,-43
813,45 add 24,69
814,61 plus 94,155
815,88 plus 63,151
816,15 subtract 37,-22
817,15 subtract 9,6
818,6 minus 98,-92
819,42 add 84,126
820,4 plus 78,82
821,75 add 90,165
822,6 add 43,49
823,53 subtract 3,50
824,17 subtract 86,-69
825,59 add 58,117
826,65 plus 72,137
827,77 plus 85,162
828,2 subtract 87,-85
829,28 plus 63,91
830,67 subtract 47,20
831,3 minus 41,-38
832,66 add 97,163
833,72 subtract 97,-25
834,14 minus 56,-42
835,19 plus 57,76
836,6 plus 19,25
837,64 minus 79,-15
838,45 minus 7,38
839,33 plus 95,128
840,37 minus 52,-15
841,56 add 84,140
842,65 subtract 59,6
843,63 add 81,144
844,43 plus 14,57
845,38 subtract 37,1
846,16 plus 18,34
847,97 subtract 80,17
848,98 plus 86,184
849,70 minus 63,7
850,48 minus 25,23
851,8 plus 13,21
852,22 minus 39,-17
853,67 plus 92,159
854,77 minus 24,53
855,75 plus 8,83
856,68 minus 44,24
857,50 subtract 17,33
858,83 add 66,149
859,27 add 68,95
860,57 subtract 82,-25
861,67 minus 8,59
862,53 add 56,109
863,100 minus 83,17
864,5 add 26,31
865,29 plus 21,50
866,100 plus 96,196
867,76 minus 42,34
868,50 subtract 60,-10
869,59 add 80,139
870,1 minus 11,-10
871,89 add 19,108
872,5 plus 37,42
873,77 subtract 25,52
874,91 minus 61,30
875,30 subtract 91,-61
876,82 add 64,146
877,71 plus 76,147
878,47 add 9,56
879,54 add 69,123
880,57 add 16,73
881,32 plus 44,76
882,49 minus 8,41
883,72 subtract 80,-8
884,6 add 63,69
885,60 minus 26,34
886,78 add 40,118
887,85 plus 1,86
888,82 minus 16,66
889,20 add 100,120
890,2 subtract 68,-66
891,70 add 65,135
892,82 subtract 4,78
893,66 minus 71,-5
894,12 add 10,22
895,13 add 20,33
896,6 add 46,52
897,2 minus 21,-19
898,63 subtract 10,53
899,7 subtract 4,3
900,63 subtract 35,28
901,59 plus 93,152
902,34 plus 5,39
903,69 plus 45,114
904,46 subtract 25,21
905,63 add 36,99
906,67 minus 78,-11
907,56 minus 94,-38
908,10 add 35,45
909,70 subtract 74,-4
910,3 plus 14,17
911,61 subtract 6,55
912,69 minus 98,-29
913,100 add 82,182
914,70 subtract 96,-26
915,100 minus 73,27
916,76 add 17,93
917,5 plus 51,56
918,35 plus 72,107
919,42 plus 26,68
920,32 minus 45,-13
921,90 subtract 74,16
922,62 minus 88,-26
923,17 add 80,97
924,43 subtract 65,-22
925,36 subtract 4,32
926,48 minus 66,-18
927,40 minus 97,-57
928,67 minus 64,3
929,39 subtract 97,-58
930,91 subtract 70,21
931,76 add 1,77
932,81 minus 76,5
933,68 plus 92,160
934,52 add 43,95
935,4 add 31,35
936,63 minus 78,-15
937,89 add 58,147
938,22 subtract 98,-76
939,42 plus 42,84
940,34 minus 66,-32
941,80 add 53,133
942,61 subtract 20,41
943,31 add 29,60
944,76 add 2,78
945,35 add 12,47
946,7 subtract 84,-77
947,49 add 98,147
948,87 add 73,160
949,2 plus 79,81
950,39 plus 98,137
951,32 subtract 7,25
952,31 minus 54,-23
953,95 subtract 92,3
954,67 subtract 27,40
955,27 minus 79,-52
956,24 add 30,54
957,65 minus 68,-3
958,31 minus 81,-50
959,91 minus 26,65
960,68 plus 43,111
961,28 add 76,104
962,46 add 21,67
963,45 subtract 84,-39
964,42 subtract 64,-22
965,16 minus 93,-77
966,8 minus 13,-5
967,6 add 96,102
968,35 minus 61,-26
969,40 minus 89,-49
970,17 add 4,21
971,75 plus 61,136
972,58 minus 27,31
973,43 add 21,64
974,8 add 35,43
975,52 add 18,70
976,64 minus 50,14
977,92 plus 21,113
978,83 plus 86,169
979,3 minus 56,-53
980,42 plus 64,106
981,39 subtract 20,19
982,76 plus 40,116
983,20 subtract 79,-59
984,94 subtract 98,-4
985,27 add 45,72
986,32 add 62,94
987,8 plus 6,14
988,26 add 87,113
989,39 add 28,67
990,39 minus 7,32
991,71 subtract 72,-1
992,93 add 31,124
993,63 subtract 32,31
994,66 minus 57,9
995,63 plus 27,90
996,16 subtract 7,9
997,16 minus 84,-68
998,45 add 1,46
999,49 add 55,104
1000,63 subtract 32,31
1001,72 add 2,74
1002,96 subtract 98,-2
1003,92 subtract 60,32
1004,68 plus 61,129
1005,23 subtract 58,-35
1006,15 subtract 60,-45
1007,71 minus 62,9
1008,68 minus 88,-20
1009,84 minus 11,73
1010,57 subtract 94,-37
1011,7 subtract 29,-22
1012,63 add 14,77
1013,66 subtract 11,55
1014,45 minus 26,19
1015,16 add 16,32
1016,77 add 82,159
1017,7 subtract 92,-85
1018,96 plus 68,164
1019,46 subtract 82,-36
1020,18 add 3,21
1021,78 add 22,100
1022,100 add 43,143
1023,7 minus 62,-55
1024,9 minus 9,0
1025,75 plus 52,127
1026,72 add 3,75
1027,71 add 67,138
1028,97 plus 2,99
1029,60 minus 2,58
1030,70 subtract 77,-7
1031,42 add 22,64
1032,72 minus 40,32
1033,32 subtract 21,11
1034,70 add 44,114
1035,44 add 73,117
1036,43 minus 56,-13
1037,59 plus 93,152
1038,63 subtract 79,-16
1039,51 plus 14,65
1040,74 minus 55,19
1041,83 add 65,148
1042,69 subtract 22,47
1043,32 add 97,129
1044,32 plus 57,89
1045,87 plus 39,126
1046,53 plus 2,55
1047,52 subtract 74,-22
1048,34 subtract 74,-40
1049,75 add 32,107
1050,14 minus 100,-86
1051,79 add 54,133
1052,94 subtract 48,46
1053,34 minus 19,15
1054,30 subtract 67,-37
1055,23 minus 3,20
1056,63 plus 71,134
1057,7 add 49,56
1058,37 minus 45,-8
1059,21 add 44,65
1060,23 add 35,58
1061,59 subtract 52,7
1062,52 minus 73,-21
1063,50 subtract 16,34
1064,48 minus 79,-31
1065,69 plus 66,135
1066,53 subtract 38,15
1067,58 plus 59,117
1068,87 plus 68,155
1069,4 plus 96,100
1070,16 plus 73,89
1071,96 subtract 31,65
1072,27 subtract 66,-39
1073,29 add 31,60
1074,33 subtract 75,-42
1075,26 subtract 51,-25
1076,34 subtract 47,-13
1077,80 add 77,157
1078,64 plus 43,107
1079,70 minus 54,16
1080,67 plus 18,85
1081,48 plus 54,102
1082,49 subtract 55,-6
1083,5 plus 26,31
1084,46 add 53,99
1085,91 minus 65,26
1086,34 subtract 2,32
1087,16 add 57,73
1088,17 minus 87,-70
1089,88 minus 47,41
1090,52 plus 34,86
1091,57 minus 53,4
1092,49 add 87,136
1093,39 add 38,77
1094,76 subtract 49,27
1095,2 minus 12,-10
1096,90 add 52,142
1097,42 add 25,67
1098,52 minus 39,13
1099,93 add 47,140
1100,39 add 50,89
1101,23 add 25,48
1102,98 minus 4,94
1103,70 add 45,115
1104,52 subtract 85,-33
1105,79 add 2,81
1106,77 minus 42,35
1107,62 add 65,127
1108,40 subtract 59,-19
1109,28 add 31,59
1110,45 plus 32,77
1111,3 subtract 21,-18
1112,7 minus 55,-48
1113,89 plus 72,161
1114,24 minus 56,-32
1115,63 minus 98,-35
1116,38 minus 78,-40
1117,72 add 40,112
1118,1 plus 71,72
1119,16 add 56,72
1120,100 subtract 56,44
1121,20 subtract 17,3
1122,61 subtract 75,-14
1123,36 add 83,119
1124,37 subtract 80,-43
1125,22 plus 4,26
1126,47 add 95,142
1127,41 minus 94,-53
1128,49 plus 3,52
1129,94 minus 36,58
1130,82 add 10,92
1131,4 minus 86,-82
1132,36 add 98,134
1133,55 minus 14,41
1134,32 add 25,57
1135,82 minus 81,1
1136,54 subtract 16,38
1137,69 subtract 6,63
1138,16 subtract 32,-16
1139,1 plus 74,75
1140,5 plus 19,24
1141,57 minus 78,-21
1142,35 minus 74,-39
1143,25 plus 72,97
1144,41 plus 5,46
1145,7 plus 51,58
1146,8 subtract 72,-64
1147,41 add 100,141
1148,30 minus 4,26
1149,85 minus 23,62
1150,19 minus 94,-75
1151,60 add 66,126
1152,54 plus 36,90
1153,64 plus 95,159
1154,5 subtract 85,-80
1155,27 subtract 93,-66
1156,63 plus 27,90
1157,81 minus 11,70
1158,11 minus 74,-63
1159,87 subtract 45,42
1160,6 plus 72,78
1161,96 minus 98,-2
1162,45 add 98,143
1163,54 add 23,77
1164,36 subtract 45,-9
1165,77 add 29,106
1166,35 plus 31,66
1167,43 minus 51,-8
1168,20 plus 4,24
1169,32 add 20,52
1170,47 minus 71,-24
1171,87 subtract 1,86
1172,58 add 76,134
1173,1 add 85,86
1174,58 subtract 54,4
1175,92 plus 31,123
1176,84 minus 28,56
1177,25 minus 90,-65
1178,48 add 26,74
1179,51 subtract 46,5
1180,80 subtract 93,-13
1181,55 plus 44,99
1182,46 add 43,89
1183,33 subtract 44,-11
1184,92 subtract 55,37
1185,80 subtract 65,15
1186,28 add 19,47
1187,100 minus 10,90
1188,26 minus 69,-43
1189,2 minus 64,-62
1190,78 subtract 58,20
1191,93 plus 12,105
1192,85 subtract 12,73
1193,89 add 66,155
1194,11 subtract 60,-49
1195,8 subtract 17,-9
1196,9 minus 37,-28
1197,97 subtract 50,47
1198,25 plus 6,31
1199,74 minus 92,-18
1200,84 subtract 55,29
1201,47 subtract 36,11
1202,95 plus 46,141
1203,5 add 38,43
1204,64 subtract 57,7
1205,94 subtract 74,20
1206,29 subtract 97,-68
1207,6 add 80,86
1208,70 add 48,118
1209,61 minus 57,4
1210,94 minus 63,31
1211,76 add 54,130
1212,68 subtract 2,66
1213,96 plus 94,190
1214,93 plus 39,132
1215,38 minus 93,-55
1216,22 subtract 12,10
1217,5 subtract 55,-50
1218,23 subtract 48,-25
1219,46 minus 68,-22
1220,21 minus 78,-57
1221,41 plus 48,89
1222,25 add 76,101
1223,34 plus 71,105
1224,63 subtract 60,3
