,0
54,yes thats the immediate view outside the ship
55,you really are a stubborn young man arent you
56,they are saying im a charlatan what concrete evidence would satisfy you
57,eh doctor who whats he talking about
58,no
59,not until im quite sure its safe to do so well yes good yes it is its good excellent excellent youve got the radiation counter there whats it read
60,splendid splendid well i think ill take my geiger counter with me in any case so you still challenge me young man
61,youre so narrowminded arent you dont be so insular
62,yes weve gone back in time all right one or two samples and i shall be able to make an estimate with rock pieces and a few plants but i do wish this wouldnt keep letting me down however we can go out now
63,yes quite so
64,that is quite correct but your tone suggests ridicule
65,really where does time go then
66,youre not as doubtful as your friend i hope
67,if you could touch the alien sand and hear the cries of strange birds and watch them wheel in another sky would that satisfy you
68,now see for yourself
69,well ive no more time to argue with you i must get some samples susan
70,oh dear its disgusting really
71,its still a police box why hasnt it changed dear dear how very disturbing
72,wheres my where
73,i can make fire for you let me go and ill make all the fire you want you dont have to be afraid of me im an old man how can an old man like me harm any of you
74,my matches where are they i must get back must get back to the ship
75,take me back to my ship and i will make fire for you all the fire you want
76,i have no matches i cannot make fire i cannot make fire
77,if he dies there will be no fire
78,all right
79,we should use our cunning i hope you can get yourself free chesterton i cant the stench in here the stench im sorry its all my fault im desperately sorry
80,look at that look at it
81,oh im sorry im sorry its all my fault im desperately sorry
82,look at those look at them
83,oh its hopeless hopeless even if we do get free we shall never move that stone
84,well you obviously are
85,no no dont waste time try those bones they may be theyre sharper perhaps
86,we must all take it in turns and try and cut his hands free
87,no no weve got to free you first youre the strongest and you may have to defend us
88,susan you have a go my arms are tired
89,and dont think of failing
90,well try and remember if you can how you and the others found your way here concentrate on that please
91,fear makes companions of all of us thats right
92,fear is with all of us and always will be just like that other sensation that lives with it
93,your companion referred to it hope hope thats right
94,there will be no fire
95,stop just a minute let me get my
96,just a moment
97,i know i know that but i must get breathe i must breathe
98,theres no need for that dont be so childish im not senile just let me get my breath for a moment
99,yes im not so young you know
100,im all right dont keep on looking upon me as the weakest link of the party
101,what nonsense
102,oh sheer nonsense child imagination
103,im hot with all this exertion
104,i expect so
105,do you think i want to
106,you seem to have elected yourself leader of this little party
107,just so long as you understand i wont follow your orders blindly
108,arent you a tiresome young man
109,oh sheer imagination
110,i wont allow myself to be frightened out of my wits by mere shadows thats all
111,yes yes yes yes
112,it must have just been killed by a larger animal too
113,susan you stay here with me
114,silence were going back to the ship
115,what are you doing they must be out of their minds
116,what exactly do you think youre doing
117,one minute ago we were trying desperately to get away from these savages
118,im not a doctor of medicine
119,oh dont be ridiculous child
120,youre trying to say that everything you do is reasonable and everything i do is inhuman well im afraid your judgements at fault miss wright not mine havent you realised if these two people can follow us any of these people can follow us the whole tribe might descend upon us at any moment
121,and what about the old woman who cut our bonds you understand
122,youre not going to take him back to the ship
123,do you think so these people have logic and reason have they cant you see their minds change as rapidly as night and day shes probably telling the whole tribe at this very moment
124,get your hand off me
125,well i i was going to get him to draw our way back to the tardis
126,you dont expect me to carry him do you
127,oh very well
128,this knife has no blood on it i said this knife has no blood on it
129,it is a finer knife than yours
130,this knife can cut and stab i have never seen a better knife
131,this knife shows what it has done there is blood on it  who killed the old woman
132,you killed the old woman
133,is this your strong leader one who kills your old women he is a bad leader he will kill you all yes all  follow my example
134,dont struggle
135,this place is evil
136,we are making fire
137,dont stop
138,do you understand we are making fire for you
139,he is the least important because we can all make fire
140,give him a chance give him a chance let him show the tribe fire establish himself as leader then hell let us go
141,when are you going to let us go hmm
142,quench the fire take the fire away from them scaring them somehow
143,yes
144,oh how i wish
145,you know i cant do that please be reasonable
146,you see this isnt operating properly or rather the code is still a secret when you put the right data precise information to a second of the beginning of a journey then we can fix a destination but i had no data at my disposal
147,well of course i cant im not a miracle worker
148,well i got you away from that other time didnt i
149,its the only way i can answer you young man now now we shall see
150,now what does the radiation read susan
151,well i suggest before we go outside and explore let us clean ourselves up
152,now what does the radiation read susan
153,the heat must have been indescribable look at this soil here look at it its all turn to sand and ashes extraordinary how can shrubs or trees grow in soil like that hmm
154,its petrified how fascinating a petrified jungle hm extraordinary yes i must really investigate that couldnt have been heat then and age would merely decay
155,i dont know i dont know but i intend to find out
156,yes very pretty very pretty hm
157,yes its certainly alien to anything on your planet but youre wrong about one thing chesterfield this isnt like everything else the animal is solidified certainly but its not crumbly stone its metal yes it always was
158,why cant you imagine an animal unless its flesh blood and bone hmm no i tell you this is an entirely different formation i should say originally it was some pliable metal held together by a magnetic field or an inner magnetic field rather and it may have had the ability to attract its victims towards it if they were metal too
159,no certainly not
160,oh certain and you neednt look at me like that young man we started this journey far too hurriedly to make any calculations you know that as well as i do however were alive
161,well now are we ready
162,no not really not really whatever it was destroyed everything that was living but the planet is dead totally dead
163,what is it chesterton we really must get back to
164,no no no sign of life no just buildings magnificent buildings
165,i dont know i dont know whatever it was destroyed the vegetation here certainly hasnt damaged the city but theres no sign of life no movement no light no no i shall know more about it when ive been down there
166,now dont be ridiculous that city down there is a magnificent subject for study and i dont intend to leave here until ive thoroughly investigated it
167,yes yes yes all right then but i assure you im determined to study that place
168,very well then i shall look at it myself alone
169,yes yes shes convinced that someone touched her and i tried to make her see it wasnt possible but im afraid she wouldnt listen to me i wonder would you have a talk with her
170,yes you know sometimes i find the gulf between susans age and mine makes difficult understanding between us
171,oh would you thank you thank you very much id be grateful
172,youre quite right quite right
173,hmm oh
174,my dear boy these eternal questions of yours do i know where we are i suppose
175,you pushed your way into the ship young man
176,oh small
177,a very good idea im hungry
178,oh dear dear how irksome for you oh this stuff is very good this should cure it now not too much dear not too much
179,oh did you want something to eat what would you like
180,bacon and eggs
181,yes certainly certainly j62
182,l6
183,now now now dont be ridiculous
184,bacon and eggs
185,well
186,it shouldnt be its english
187,food has component parts dear boy flavours are rather like primary colours you know you blend two to achieve a third a fourth etc etc
188,susan would you like something to eat
189,oh child thats unusual i do hope your affects outside the ship hasnt affected you too much
190,right
191,the scanner
192,ah but the city i must see the city
193,i will not be questioned uninvited passengers i didnt invite them to the ship i shall do what i want to do
194,i dont know the power takeup was rising normally and
195,oh dont distract me please
196,yes i think youd better child
197,k7 ah yes of course the fluid link yes yes yes yes
198,oh no no need for that this is easily repaired all we have to do is refill it
199,mercury
200,no im afraid you cant we havent any at all
201,no
202,no it hasnt been necessary this hasnt happened before
203,no no we shall have to get some from outside
204,yes the city of course of course were bound to get some mercury there yes were bound to well i mean what else can we do hmm
205,yes indeed at first light then
206,oh quite so quite so
207,what is it chesterton
208,let me see
209,yes id like to run a few tests on those susan would you take these into the ship please
210,thank you oh and by the way did you remember the food supplies
211,yes ample ample
212,do you mind if i sit down for a minute i feel a bit exhausted
213,yes im just a bit tired it was a long journey and my legs are rather weak
214,no no no no i want to look around too i shall be all right thank you
215,would you lend me your arm would you susan thank you
216,wait
217,listen
218,quiet child now listen
219,its stopped now
220,measuring equipment but measuring what look here look at this drum the inks still quite wet
221,theyre intelligent anyway very intelligent
222,oh as if that matters what these instruments tell us is that were in the midst of a very very advanced civilised society
223,yes yes that explains a lot of things doesnt it a jungle turned to stone the barren soil and the fact that were not feeling well
224,yes im afraid so the atmosphere here is polluted with a very high level of fallout and weve been walking around in it completely unprotected
225,a neutron bomb yes it destroys all human tissue but leaves the buildings and machinery intact yes
226,we need we need drugs to be treated
227,for the fluid link yes yes im afraid i cheated a little on that i was determined to see the city but everybody wanted to go on and well to avoid arguments in short theres nothing wrong with the fluid link
228,abuse me as much as you like chesterton the point is we need an immediate return to the ship and i suggest we leave at once
229,very well you may stay and search for her if you wish but susan and i are going back to the ship now come along child
230,give that to me
231,give it to me i say
232,chesterton this is
233,child if only youd think as an adult sometimes oh very well lets go then lets go
234,well unless unless we get treatment we shall die yes we shall die    dalek 1
235,in a moment child the phial of drugs left outside the tardis remember
236,its possible that they may have been antiradiation gloves drugs i cant be certain but it does give us a chance the people here whoever they may be are very eager to get hold of them
237,whoever goes must be very careful as far as i can ascertain the creatures out there are the ones who dropped the box theyre called thals theyre mutations
238,no if they were drugs ive learnt quite a lot from the daleks
239,the daleks our captors here oh if i didnt feel so oh but i was right about the neutron bomb the daleks built this underground city as a kind of huge shelter
240,i dont know
241,susan
242,give me a little while and then we must go back to the ship
243,oh are we oh yes well we must leave here soon we must must leave yes
244,i cant understand why have they taken susan
245,or suspect them either
246,i tell you the daleks are brilliant people i think we ought to cooperate with them
247,take your hands off me how dare you shout
248,keep away from me
249,dont waste time
250,the point is how do we get out of here wait until the daleks open the door and force the issue
251,the floors are metal all the floors are metal
252,why
253,no i know you dont know i mean why do they use metal is it because it lasts longer or because
254,no no no now listen lets concentrate on the daleks have you noticed for example that when they move about theres a sort of acrid smell
255,its electricity i think theyre powered that way
256,no no i believe the daleks have discovered a way to exploit static electricity very ingenious if im right
257,precisely if im right of course now what do we know apart from guessing how they are powered
258,yes yes yes yes now chesterton do you mind concentrating young man
259,and what will it do young man hmm
260,ready
261,now all of you watch very carefully see that you notice every detail in that machine right    dalek 1
262,yes yes yes yes yes
263,if hes on time we have three minutes
264,hows the mud
265,very good very good idea
266,yes yes not too near the door we dont want to make him suspicious
267,yes yes quickly good child
268,mind your head    dalek 1
269,well done susan
270,are you all right susan
271,splendid splendid
272,yes
273,barbara susan give me a hand move it down gently  how is it
274,well cant you sound more like a dalek
275,thats it
276,dont worry well push you
277,no no no it wont be suspicious at all
278,its up to you now chesterton you have to do as little talking as possible
279,thats fixed the door
280,here let me help fix it
281,wait a minute there its free lift it from the top
282,chesterton try and force it up from the inside
283,theyre cutting through the door
284,yes but hurry hurry
285,theyve magnetised the floor you feel it
286,yes chesterton were not able to get you into the lift
287,well come on hes right
288,when we get to the top well send the lift back down for you all right
289,come on susan
290,oh maybe ten minutes if were lucky longer
291,susan its no good we cannot do anything for him now child
292,well never mind that now we must try and find a way out of this room
293,were right at the top of the building i can just see the surface of the city see over there theres the edge of the petrified jungle
294,a dalek
295,theyre walking into an ambush    dalek 2
296,yes but how dear boy
297,well yes
298,theyve magnetised it too come on lets try and force it open
299,its open ive done it
300,look what are you doing
301,well lets get back to the ship
302,susan
303,the thals are no concern of ours we cannot jeopardise our lives getting involved in an affair which is none of our business
304,good luck chesterton
305,fascinating absolutely fascinating you know these records must go back nearly half a million years
306,oh nonsense young lady your survival is all here what er is this a solar system
307,i see and this what is this planet
308,total oh you have records of other systems
309,yes i see i wonder if i could see the plans
310,i might be able to fix our position oh yes yes absorbing most absorbing
311,i say i say i think thesell interest you  look here this is these peoples ancestor the original thal male there was a neutron war here most died and the survivors mutated but in the case of the thals mutation came round in full circle then refined itself into what you see
312,yes yes it took hundreds of years of course in the second example our recent hosts the mutation has not completed its full circle why i dont know but do you remember that monstrosity we took out of its machine
313,this is its forebear
314,yes they called them dals then oh its all there every moment of it is skaroene history minutely but brilliantly recorded priceless absolutely priceless
315,yes they were the warriors then
316,undoubtedly
317,im very glad to hear hes improving well now im sure you all agree with me its time we went back to the ship now come along
318,and the daleks are not which is more important my child
319,why
320,but our fate doesnt rest with the thals surely lets leave well alone we have ourselves to worry about now come along come along wasting time
321,oh please come along oh by the way let me have the fluid link will you oh dear boy now please please come along you know i cant start the ship without it
322,hmm
323,no i cant my child and ive looked through all my spares and ive really discovered we do need some mercury
324,its put us in a bit of a jam i must get that fluid link back again im afraid my little trick has rather rebounded on me what you might call tempting providence chesserman
325,yes well at least youre not vindictive
326,hmm
327,yes hey i know that
328,i can assure you young lady i havent been wasting my time theres always a way
329,thank you my dear your faith is something that i prize very highly you all realise of course we cannot succeed against the daleks alone
330,we have a readymade army here the thals theyre strong and they have one great advantage against the daleks they can move so much more quickly
331,well thats all right young man the mind will always triumph with me to lead them the thals are bound to succeed
332,my dear child this is no time for morals they must fight for us
333,oh my dear young man i do hope youre not going to be difficult
334,its just common sense young lady ive been underestimating you
335,are you challenging me
336,quite so
337,we need action not arguments
338,hmm strange young man
339,yes well see
340,lets see what hes up to
341,if we get this intelligent anticipation we shall succeed lets see this now what is this area here
342,yes yes well now i suggest we split into two groups the one to distract the daleks on the city wall side and the others to try and force a way through the mountains
343,are we all agreed
344,hmm
345,can you see any way in at all
346,oh youll allow me will you
347,yes yes yes now the things we have to put out of action is the radio and television waves theyve obviously got complete coverage in and around the city
348,we must presume they dont leave anything to chance
349,then we must stop the pictures remember the daleks arent very mobile
350,and theres always value in surprise i know it looks difficult but we must try it my friends yes we must
351,never mind it gives us a better chance to get into the city unnoticed
352,oh i know its risky but well we mustnt diddle about here now i want to get to the east side of that antennae
353,hmm
354,yes yes i see well you go ahead will you go along child yes well show them a thing or two
355,yes
356,ah yes a single cable the whole city is powered by static electricity
357,the single wire you see round here there see and there that must be the answer
358,ah good girl now just take it over there thats it now look out
359,no just a minute now you go and tell your friends to stop flashing the light on the antennae because for all we know the daleks might have a beam to throw on them paralyse them kill them
360,we shall be all right now go along and tell them to move their position from time to time now hurry please
361,yes yes yes yes we shall be back before then now go dear dear dear that young man gets so agitated now ill tell you what well do well shortcircuit it to another conductor let me have the key of the ship susan will you the key of the ship dear
362,yes yes yes i can always make another one if necessary
363,now the powers running away thatll teach the daleks to meddle in our affairs
364,well of course
365,but my dear child dont you realise what ive done a few simple tools
366,a superior brain
367,but child look
368,and you in turn killed the thal leader in your ambush and you will be responsible for more deaths unless you help these people  dalek 1
369,thats sheer murder  dalek 1
370,you could live in the city and the others could but why do you have to destroy cant you use your brains for right
371,what are you planning
372,nothing can live outside if you do that nothing
373,when do you intend to put this into operation
374,this senseless evil killing
375,just a moment i havent told you how we came to this planet  dalek 1
376,and you took a part of my ship away from one of my companions the young man  dalek 1
377,can they get here in time
378,stop it please  dalek 1
379,chesterton come here
380,they were about to spread radiation into the air
381,yes  dalek 1
382,no doubt you will have other wars to fight chesterton come along my boy weve got work to do i want to look at the reactors and see if theres any radiation leakage
383,hmm oh yes yes yes of course come along come along
384,this is what they call a compensator my friend
385,the whole of it its useless throw it away forget it unless you want to live in a shell like our dead friends
386,to rebuild a whole new world how i envy you
387,oh no no im afraid im much too old to be a pioneer although i was once amongst my own people
388,no no thank you were much too far away from home my granddaughter and i thank you all the same its a nice gesture on your part you know this soil is not quite so barren as you think ive been making tests and even you might live to see and hear the birds amongst the trees you wanted advice you said i never give it never but i might just say this to you always search for truth my truth is in the stars and yours is here
389,no im afraid its out of the question but i might visit your grandchildren to find if theyve learned the secrets and if they have well who knows i might live with them
390,not yet but i have it safely here and theres no need to worry about mercury young man
391,come along my child im hungry
392,oh how stupid of me i very nearly forgot my specimens oh your hand sir  goodbye
393,i cant take you back susan i cant
394,my head
395,it hurts here
396,no i was hit on the back of the neck
397,no no the ship must have stopped and put us down somewhere
398,oh all these questions miss wright please
399,where is not as important as why young man i must go and check the fault locator again
400,you didnt touch the controls did you
401,i know susan wouldnt im worried about that child temporary lapse of memory
402,well yes yes anything may help
403,no no no
404,no its ridiculous
405,its not very logical is it
406,well as i said its not very logical
407,ive been very patient with you miss wright and really theres no more time for these absurd theories
408,yes or electric
409,thank you it wont take us long
410,yes well perhaps it would be wiser to check the fault locator first im glad i thought of that yes come along come along
411,oh yes these numbers keep blurring before my eyes thats all
412,well if you wouldnt mind standing in front of that indicator and what you will see will be a series of numbers
413,hmm are you all right child
414,hit where
415,yes rather like mine
416,no it didnt did it i must find out whats outside the ship susan stand close beside me will you
417,no indeed
418,thats very curious that cant be whats outside the ship this is a photograph
419,yes the planet quinnis of the fourth universe
420,did i ever tell you that the ship has a memory bank hmm
421,are you sure i thought i did
422,oh dont you know i thought you might be able to explain it
423,trying to confuse me eh
424,what is inside madam is most important at the moment
425,precisely i know now whos responsible you are you sabotaged my ship
426,youre the cause of this disaster and you knocked both susan and i unconscious
427,a charade you attacked us
428,and when we were lying helpless on the floor you tampered with my controls
429,no sir we checked everything you and i
430,blackmail thats why you tried to force me to return you to england
431,i know it im sure of it
432,oh
433,but
434,ive decided we need more time to think were all somewhat overwrought mister chesterton  miss wright susan
435,a little nightcap to help us relax and sleep
436,meaning
437,im afraid we have no time for codes and manners and i certainly dont underestimate the dangers if they exist but i must have time to think i must think rash action is worse than no action at all hmm
438,you mean to keep one jump ahead that you will never be you need my knowledge and ability to apply it and then you need my experience to gain the fullest results
439,one mans law is another mans crime sleep on it chesterton sleep on it
440,so it was you
441,its no use pretending
442,help him you saw him you saw what he tried to do
443,susan didnt faint it was you that told me she fainted and i very nearly believed you
444,matter matter young lady he very nearly tried to strangle me
445,oh hes playacting
446,not to me nothings happened to me this is a plot between the two of you to get control of my ship
447,cant you see ive found you out why wont you admit it hmm
448,i told you id treat you as enemies
449,theres no other way
450,that is my business
451,oh its all a charade
452,i see divide and conquer eh shes trying to poison your mind against me
453,oh yes i admit they were very smart
454,dont you see i wouldnt allow them to hurt you child theyre very resourceful and cunning and it only leaves me one recourse they must be put off the ship
455,i can and i must
456,dont underestimate my powers young lady
457,yes or it might be the earth in the twentieth century hadnt it occurred to you my ship is very valuable remember
458,put yourself in my place young lady and youd do precisely the same thing wouldnt you hmm
459,youre getting off the ship chesterton
460,yes now get up
461,if of course theyd like to confess to me what they have done to my ship i may even change my mind
462,the fault locator the whole of it
463,the whole area of the fault locator has just given us a warning
464,thats what it means child
465,no you mustnt be frightened of me not now please i cant explain but ive just realised the danger were in
466,hurry look we must pull him round you see that panel up there youve heard me refer to it the fault locator
467,if one small piece of apparatus fails a little bulb illuminates and tells me precisely where the fault is can you imagine what would happen if the whole of it lights up hmm it means that the ship is on the point of disintegration youre not to blame all four of us are to blame
468,oh a mere harmless sleeping drug
469,yes you rather suspected i was up to some mischief
470,im afraid i must have misjudged you both
471,well please go on counting now both of you listen can you concentrate
472,were on the brink of destruction so all four of us must work closely together we must find out where we are and what is happening to my ship
473,theres a strong force at work somewhere which is threatening my ship its so strong that every piece of equipment can be out of action at the same time
474,precisely we havent crashlanded otherwise i would have discovered that immediately and i dont believe theres an evil intelligence in the ship just at the same token i dont really believe that you either of you have been the cause of this trouble
475,i dont know but we must find out
476,but its impossible
477,yes the heart of the machine is under the column
478,the source of power you see when the column rises it proves the extent of the power thrust
479,can it be possible then that this is the end
480,we have ten minutes to survive
481,maybe less
482,oh its quite safe here this is where i stood when i tried the scanner switch
483,i dont know even where to begin chesterton if only i had a clue
484,it it what do you mean my machine cant think
485,yes it has
486,oh think not as you or i do but it must be able to think as a machine you see it has a bank of computers
487,yes
488,yes
489,ive been racking my brains i dont know
490,yes possible
491,well it would have to be a gigantic one a one as strong as a solar system
492,no no it couldnt if you felt the power dear boy you wouldnt live to speak of it youd be blown to atoms in a split second
493,well try it but were clutching at straws come
494,we have five minutes only when the end does come they wont know anything about it
495,i cant see any will you face it with me
496,yes we must solve this problem you know we must
497,yes then we have the sequence a planet a planet in the solar system getting further away blinding flash destruction yes of course its our journey
498,yes yes
499,of course of course
500,i er had hoped to reach your planet earth skaro was in the future and i used the fast return switch
501,well i cant very well see it without a light can i
502,strange
503,yes i see here it is  here you see now look theres the switch you see
504,well you merely press it down and its stuck it hasnt released itself
505,yes it must have been
506,hold that yes just a minute now yes there you are you see
507,the springs not connecting its come off the base
508,there we are take it out now luckily we can turn it over and now it should work there ah thats all right
509,yes we can all relax were quite safe now but it was a narrow squeak
510,yes my child
511,what happened it was the switch it was still in place you see theres a little spring inside it and it was stuck it hadnt released itself
512,well the switch hadnt broken down therefore the fault locator couldnt give us any recognition you see let me give you a demonstration  now look when i put my thumb on there the light comes on and it only stays on so long as my thumb is pressing that switch as soon as i take if off a little spring inside releases the switch here and out goes the light
513,precisely as simple as that you know my dear child i think your old grandfather is going a tiny little bit around the bend well i think you were very brave and i was proud of you
514,yes i i er well
515,really and i always thought that you were a young man without any recrimination in you well as for you young lady well you were absolutely right it was your instinct and intuition against my logic and you succeeded i mean the blackouts and the still pictures and the clock well you read a story into all these things and were determined to hold on to it we all owe you our lives
516,id like to talk to you if i may weve landed on a planet and the air is good but its rather cold outside
517,yes you havent forgiven me have you
518,yes i suppose its the injustice thats upsetting you and when i made a threat to put you off the ship it must have affected you very deeply
519,as we learn about each other so we learn about ourselves
520,oh yes because i accused you unjustly you were determined to prove me wrong so you put your mind to the problem and luckily you solved it
521,oh please yes do open the doors will you
522,oh by the way susan has left you some wearing apparel for outside you know we have a very extensive wardrobe here
523,yes i think theyre rather charming we must look after you you know youre very valuable yes
524,well i think thats absolutely splendid chesterton yes it suits you
525,always a trifle too big for me you know i acquired that ulster from gilbert and sullivan
526,yes why not  susan
527,yes oh a little bit out of breath oh thats quite understandable after all were several thousand feet above sea level
528,well i directed the ship towards earth and it looks as though ive been successful
529,that oh i cant see anything without my glasses anyway i dont like this place youll have to excuse me ive got a lot of work to do first
530,oh dear dear dear dear were always in trouble isnt this extraordinary it follows us everywhere
531,all the lights in the ship have gone out the whole circuit has burned itself to a cinder and added to that it affected the water we havent got any
532,oh the heating as well everythings gone to pot
533,serious are you telling theres no need for you to tell me that really
534,fuel now where on earth do you expect to find fuel here hmm
535,oh well i wish you luck
536,you stay with me child you might be able to help me
537,now susan go into the ship and fetch me the two l oh will you you know what it is even if i do find the fault i dont suppose i shall be able to repair it before it gets dark and then we shall all freeze to death
538,im afraid its going to need a new one dear its going to take me days oh well i dont know really i always seem to
539,yes
540,yes yes yes but its going to take such a long time time we dont have now the only chance is to try and get down to a lower altitude and you know before it gets cold and we
541,whats she talking about now
542,print what sort of print paws hooves what
543,and if it were that means theres shelter nearby
544,all right yes yes yes yes
545,thank you my dear
546,oh its excellent nourishment sir
547,oh were travellers yes thats my grandchild susan and thats miss wright and thats charlton
548,thank you you saved our lives
549,oh there were two young man that i would like to ask
550,what year is this and where are we hmm
551,that is why im asking you
552,twelve hundred and eighty nine ah
553,pingcho this smells very very good what is it
554,allow me  oh its delicious delicious
555,you know its rather surprising to find the daughter of a high government official working as a servant in marco polos caravan
556,his name wouldnt be tegana would it
557,yes mongol fighting mongol
558,yes oh well yes well for an emissary of peace he has rather bloodthirsty habits doesnt he
559,yes messer marco it is different
560,that is true
561,oh indeed thats charming of you very charming of you it wont take me very long to repair a day or two but i assure you that i shall not hold up your journey any longer than is necessary
562,i see and you will be taking us along with you including the tardis
563,oh good good then i can work as we proceed
564,why not hmm
565,i see you saved our lives messer marco and the least we can do is to respect your wishes no one will enter the tardis until we reach lop
566,oh messer marco these waystations do you have many of these in cathay
567,yes
568,oh excellent excellent if youll pardon me i have a lot of work to do and
569,i dont wish to sit down i want you to call your guards off
570,no
571,but i have work to do
572,oh very well
573,oh really
574,well i really dont see what this has to do with my repairing the tardis
575,well ask the khan again
576,youre mad
577,what in peking or shang tu
578,oh you think so really oh no oh no
579,and neither do you young man
580,eventually he doesnt know what hes talking about the mans a lunatic ho
581,well that is your problem not mine
582,oh well what a mess
583,yes go by sea he says
584,i know he is yes
585,i havent the faintest idea
586,marco is this all were going to get until tonight hmm
587,susan
588,water susan susan child susan wake up wake up quickly fetch some cloth and cups
589,we must catch the water we mustnt waste a drop come along child wake up quickly look at it streaming down the walls look we must collect it its water
590,we must quickly quickly before the ship heats up in the sun hurry child hurry please
591,please wait we must be careful
592,yes but its not pure water you see
593,i havent got any water dont you understand i wouldnt allow us to get into this state if i had water young man no this was the water that was running off the walls its condensation its unbelievable condensation do you understand
594,chesterton make him understand it was condensation off the walls and
595,you understand now
596,not too much steady
597,i think i can repair the circuit in a week maybe less
598,oh were always rushing around a good days rest would do us all a lot of good
599,oh rubbish
600,well
601,young man you have no concept of what is happening have you and you still dont seem to realise that youre speaking to a man of superior intellect  polo
602,it seems we shall be stopping here for a while it means i can get on with more work
603,repairing the circuit young man
604,dont you realise they will be much less vigilant i shall be able to sneak into the tardis no worry at all
605,a key my boy a key what use do you think its going to be to him hmmm and where do you suppose i got that from
606,i made it
607,on the night of the oasis only chance i had she knows all about it dont you susan
608,yes
609,well now let me think let me think yes they were some kind of sect why
610,oh how delightful yes yes why not
611,that was really delightful pingcho
612,do you need my help
613,dont worry child well find her dont worry
614,well it looks as though i must doesnt it what is it hmm
615,oh where
616,do you know where this cave of five hundred eyes is
617,aha my friend and how long have you been lurking there hmmm
618,where is the cave of five hundred eyes
619,yes where is it
620,well how far is it from here
621,a mile a mile yes now you two go back in there and wait go along go along go along
622,never mind about him which road
623,yes all right if you insist then come along both of you quickly
624,how extraordinary look yes its quartz yes a mineral ore look you see the veins going through the rock structure and look how cleverly that face is carved so that at the eye the quartz is exposed now isnt that interesting hmm
625,hmm barbara oh yes of course yes yes we mustnt waste time no come on now lets see if we can find the spirits
626,a fools errand its a fools errand child thats what youve brought me on and i had so much work to do in the tardis now come along we mustnt waste any more time here barbaras probably in bed and asleep by now if you had any sense where both of you should be
627,hmmm
628,miss wright
629,it must be your imagination child these eyes didnt move its quartz
630,oh rubbish child
631,tegana
632,if you must know sir we are looking for miss wright
633,i think this is your answer we found it
634,im not afraid of ghosts
635,ian  ian
636,over here  ian
637,over here my boy
638,just this handkerchief we found that over there
639,this man thinks this cave is haunted
640,oh rubbish child rubbish
641,well what are you looking for chesterton
642,oh rubbish rubbish
643,what proof have you
644,the trouble is polos change of attitude has slowed down my progress on the circuit
645,well with a bit more time and a lot of luck i should say about another night
646,the following evening will even be better
647,yes and a jolly good riddance
648,what do you mean
649,its a pity there was any association at all that chinese child makes me nervous
650,she found out about the key
